CHEMICAL_ID,UNIPROTKB,TARGET_NAME,group,orthogonal,is_agonist,canonical_smiles,ENTREZ_GENE,ENTRY_NAME,REACTOME,GO_CC,GO_BP,GO_MF,KEGG,DATA_SOURCE
CHEMBL2377385,P11229,Muscarinic acetylcholine receptor M1,1.0,PRIMARY,NO,[Br-].CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)c2ccccc2,1128,ACM1,R-HSA-162582 Signal Transduction R-HSA-372790 Signaling by GPCR R-HSA-373076 Class A/1 (Rhodopsin-like receptors) R-HSA-375280 Amine ligand-binding receptors R-HSA-388396 GPCR downstream signaling R-HSA-390648 Muscarinic acetylcholine receptors R-HSA-416476 G alpha (q) signalling events R-HSA-500792 GPCR ligand binding R-HSA-881907 Gastrin-CREB signalling pathway via PKC and MAPK,GO:0005886 plasma membrane TAS GO:0005887 integral component of plasma membrane IEA GO:0014069 postsynaptic density IEA GO:0016020 membrane 7925360 TAS GO:0030054 cell junction IEA GO:0030425 dendrite IEA GO:0032279 asymmetric synapse IEA GO:0043679 axon terminus IEA GO:0045202 synapse IBA GO:0045211 postsynaptic membrane IEA,"regulation of vascular smooth muscle contraction GO:0003056 IBA cellular protein modification process GO:0006464 1411529 TAS signal transduction GO:0007165 3443095 9614217 TAS G-protein coupled receptor signaling pathway GO:0007186 7925360 TAS adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway GO:0007197 IBA protein kinase C-activating G-protein coupled receptor signaling pathway GO:0007205 9603968 TAS phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway GO:0007207 8139539 TAS G-protein coupled acetylcholine receptor signaling pathway GO:0007213 8139539 TAS synaptic transmission, cholinergic GO:0007271 IBA neuromuscular synaptic transmission GO:0007274 IEA nervous system development GO:0007399 2739737 TAS cell proliferation GO:0008283 1905013 TAS positive regulation of cell proliferation GO:0008284 2739737 TAS regulation of locomotion GO:0040012 IEA positive regulation of ion transport GO:0043270 14657398 IGI saliva secretion GO:0046541 IEA cognition GO:0050890 IEA positive regulation of intracellular protein transport GO:0090316 IEA",9614217 GO:0004435 phosphatidylinositol phospholipase C activity TAS GO:0008144 drug binding IEA GO:0016907 G-protein coupled acetylcholine receptor activity IEA,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04024 cAMP signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04151 PI3K-Akt signaling pathway - Homo sapiens (human) hsa04725 Cholinergic synapse - Homo sapiens (human) hsa04810 Regulation of actin cytoskeleton - Homo sapiens (human),CHEMBL
CHEMBL3616501,P11229,Muscarinic acetylcholine receptor M1,1.0,PRIMARY,YES,CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(cc4)c5ccccc5)c3c2)\C,1128,ACM1,R-HSA-162582 Signal Transduction R-HSA-372790 Signaling by GPCR R-HSA-373076 Class A/1 (Rhodopsin-like receptors) R-HSA-375280 Amine ligand-binding receptors R-HSA-388396 GPCR downstream signaling R-HSA-390648 Muscarinic acetylcholine receptors R-HSA-416476 G alpha (q) signalling events R-HSA-500792 GPCR ligand binding R-HSA-881907 Gastrin-CREB signalling pathway via PKC and MAPK,GO:0005886 plasma membrane TAS GO:0005887 integral component of plasma membrane IEA GO:0014069 postsynaptic density IEA GO:0016020 membrane 7925360 TAS GO:0030054 cell junction IEA GO:0030425 dendrite IEA GO:0032279 asymmetric synapse IEA GO:0043679 axon terminus IEA GO:0045202 synapse IBA GO:0045211 postsynaptic membrane IEA,"regulation of vascular smooth muscle contraction GO:0003056 IBA cellular protein modification process GO:0006464 1411529 TAS signal transduction GO:0007165 3443095 9614217 TAS G-protein coupled receptor signaling pathway GO:0007186 7925360 TAS adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway GO:0007197 IBA protein kinase C-activating G-protein coupled receptor signaling pathway GO:0007205 9603968 TAS phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway GO:0007207 8139539 TAS G-protein coupled acetylcholine receptor signaling pathway GO:0007213 8139539 TAS synaptic transmission, cholinergic GO:0007271 IBA neuromuscular synaptic transmission GO:0007274 IEA nervous system development GO:0007399 2739737 TAS cell proliferation GO:0008283 1905013 TAS positive regulation of cell proliferation GO:0008284 2739737 TAS regulation of locomotion GO:0040012 IEA positive regulation of ion transport GO:0043270 14657398 IGI saliva secretion GO:0046541 IEA cognition GO:0050890 IEA positive regulation of intracellular protein transport GO:0090316 IEA",9614217 GO:0004435 phosphatidylinositol phospholipase C activity TAS GO:0008144 drug binding IEA GO:0016907 G-protein coupled acetylcholine receptor activity IEA,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04024 cAMP signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04151 PI3K-Akt signaling pathway - Homo sapiens (human) hsa04725 Cholinergic synapse - Homo sapiens (human) hsa04810 Regulation of actin cytoskeleton - Homo sapiens (human),CHEMBL
CHEMBL3121474,P08172,Muscarinic acetylcholine receptor M2,1.0,PRIMARY,NO,[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)CC#CCOC1=NOCC1)CCCN2C(=O)c3ccccc3C2=O,1129,ACM2,Signal Transduction R-HSA-162582 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Amine ligand-binding receptors R-HSA-375280 GPCR downstream signaling R-HSA-388396 Muscarinic acetylcholine receptors R-HSA-390648 G alpha (i) signalling events R-HSA-418594 GPCR ligand binding R-HSA-500792,plasma membrane GO:0005886 IDA plasma membrane GO:0005886 TAS integral component of plasma membrane 24256733 GO:0005887 IDA cell junction GO:0030054 IEA dendrite GO:0030425 IEA asymmetric synapse GO:0032279 IEA symmetric synapse GO:0032280 IEA neuronal cell body GO:0043025 IEA axon terminus GO:0043679 IEA synapse GO:0045202 IBA postsynaptic membrane GO:0045211 IEA,"regulation of smooth muscle contraction GO:0006940 IBA G-protein coupled receptor signaling pathway 9603968 GO:0007186 TAS G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger 10895079 GO:0007187 TAS adenylate cyclase-modulating G-protein coupled receptor signaling pathway 8139539 GO:0007188 TAS adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway GO:0007197 IBA phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway 2739737 GO:0007207 TAS G-protein coupled acetylcholine receptor signaling pathway 24256733 GO:0007213 IDA synaptic transmission, cholinergic GO:0007271 IBA nervous system development 2739737 GO:0007399 TAS regulation of heart contraction GO:0008016 IEA response to virus 16548883 GO:0009615 IEP",drug binding IEA GO:0008144 G-protein coupled acetylcholine receptor activity IDA 24256733 GO:0016907,Calcium signaling pathway - Homo sapiens (human) hsa04020 cAMP signaling pathway - Homo sapiens (human) hsa04024 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04080 PI3K-Akt signaling pathway - Homo sapiens (human) hsa04151 Cholinergic synapse - Homo sapiens (human) hsa04725 Regulation of actin cytoskeleton - Homo sapiens (human) hsa04810,CHEMBL
CHEMBL222449,P20309,Muscarinic acetylcholine receptor M3,1.0,ORTHOGONAL,NO,C[N+]1(CC(=O)c2cccc(F)c2)CC[C@H](C1)N3CC(NC3=O)(c4ccc(F)cc4)c5ccc(F)cc5,1131,ACM3,Metabolism R-HSA-1430728 Signal Transduction R-HSA-162582 Integration of energy metabolism R-HSA-163685 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Amine ligand-binding receptors R-HSA-375280 GPCR downstream signaling R-HSA-388396 Muscarinic acetylcholine receptors R-HSA-390648 Acetylcholine regulates insulin secretion R-HSA-399997 G alpha (q) signalling events R-HSA-416476 Regulation of insulin secretion R-HSA-422356 GPCR ligand binding R-HSA-500792 Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907,plasma membrane GO:0005886 TAS integral component of plasma membrane GO:0005887 ISS basolateral plasma membrane GO:0016323 IEA cell junction GO:0030054 IEA dendrite GO:0030425 IEA asymmetric synapse GO:0032279 IEA axon terminus GO:0043679 IEA synapse GO:0045202 IBA postsynaptic membrane GO:0045211 IEA,"GO:0003056 regulation of vascular smooth muscle contraction IBA 10051746 GO:0006464 cellular protein modification process TAS GO:0006939 smooth muscle contraction IEA 10940357 GO:0007165 signal transduction TAS 9603968 GO:0007186 G-protein coupled receptor signaling pathway TAS GO:0007197 adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007207 phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007213 G-protein coupled acetylcholine receptor signaling pathway ISS GO:0007271 synaptic transmission, cholinergic IBA 2739737 GO:0007399 nervous system development TAS 8063729 GO:0008283 cell proliferation TAS GO:0045987 positive regulation of smooth muscle contraction IEA GO:0046541 saliva secretion IEA",GO:0004435 phosphatidylinositol phospholipase C activity 1905013 TAS GO:0004872 receptor activity 10940357 TAS GO:0005515 protein binding 19575010 IPI GO:0008144 drug binding IEA GO:0016907 G-protein coupled acetylcholine receptor activity ISS GO:0042166 acetylcholine binding ISS,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04725 Cholinergic synapse - Homo sapiens (human) hsa04810 Regulation of actin cytoskeleton - Homo sapiens (human) hsa04911 Insulin secretion - Homo sapiens (human) hsa04970 Salivary secretion - Homo sapiens (human) hsa04971 Gastric acid secretion - Homo sapiens (human) hsa04972 Pancreatic secretion - Homo sapiens (human),CHEMBL
CHEMBL212141,P20309,Muscarinic acetylcholine receptor M3,1.0,PRIMARY,NO,CC(C)NC(=O)[C@H]1CCCN1C(=O)[C@@H]2C[C@@H](O)CN2C(=O)CC(c3ccc(F)cc3)(c4ccc(F)cc4)c5ccc(F)cc5,1131,ACM3,Metabolism R-HSA-1430728 Signal Transduction R-HSA-162582 Integration of energy metabolism R-HSA-163685 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Amine ligand-binding receptors R-HSA-375280 GPCR downstream signaling R-HSA-388396 Muscarinic acetylcholine receptors R-HSA-390648 Acetylcholine regulates insulin secretion R-HSA-399997 G alpha (q) signalling events R-HSA-416476 Regulation of insulin secretion R-HSA-422356 GPCR ligand binding R-HSA-500792 Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907,plasma membrane GO:0005886 TAS integral component of plasma membrane GO:0005887 ISS basolateral plasma membrane GO:0016323 IEA cell junction GO:0030054 IEA dendrite GO:0030425 IEA asymmetric synapse GO:0032279 IEA axon terminus GO:0043679 IEA synapse GO:0045202 IBA postsynaptic membrane GO:0045211 IEA,"GO:0003056 regulation of vascular smooth muscle contraction IBA 10051746 GO:0006464 cellular protein modification process TAS GO:0006939 smooth muscle contraction IEA 10940357 GO:0007165 signal transduction TAS 9603968 GO:0007186 G-protein coupled receptor signaling pathway TAS GO:0007197 adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007207 phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007213 G-protein coupled acetylcholine receptor signaling pathway ISS GO:0007271 synaptic transmission, cholinergic IBA 2739737 GO:0007399 nervous system development TAS 8063729 GO:0008283 cell proliferation TAS GO:0045987 positive regulation of smooth muscle contraction IEA GO:0046541 saliva secretion IEA",GO:0004435 phosphatidylinositol phospholipase C activity 1905013 TAS GO:0004872 receptor activity 10940357 TAS GO:0005515 protein binding 19575010 IPI GO:0008144 drug binding IEA GO:0016907 G-protein coupled acetylcholine receptor activity ISS GO:0042166 acetylcholine binding ISS,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04725 Cholinergic synapse - Homo sapiens (human) hsa04810 Regulation of actin cytoskeleton - Homo sapiens (human) hsa04911 Insulin secretion - Homo sapiens (human) hsa04970 Salivary secretion - Homo sapiens (human) hsa04971 Gastric acid secretion - Homo sapiens (human) hsa04972 Pancreatic secretion - Homo sapiens (human),CHEMBL
CHEMBL402207,P08173,Muscarinic acetylcholine receptor M4,1.0,ORTHOGONAL,NO,[I-].[I-].C[N+]1(CCCC(O)(c2ccccc2)c3ccccc3)CCC(CC1)C4CC[N+](C)(CCCC(O)(c5ccccc5)c6ccccc6)CC4,1132,ACM4,R-HSA-162582 Signal Transduction R-HSA-372790 Signaling by GPCR R-HSA-373076 Class A/1 (Rhodopsin-like receptors) R-HSA-375280 Amine ligand-binding receptors R-HSA-388396 GPCR downstream signaling R-HSA-390648 Muscarinic acetylcholine receptors R-HSA-418594 G alpha (i) signalling events R-HSA-500792 GPCR ligand binding,IEA GO:0005737 cytoplasm TAS GO:0005886 plasma membrane IEA GO:0005887 integral component of plasma membrane IEA GO:0014069 postsynaptic density IEA GO:0030054 cell junction IEA GO:0032279 asymmetric synapse IEA GO:0042383 sarcolemma IEA GO:0043025 neuronal cell body IEA GO:0043679 axon terminus IBA GO:0045202 synapse IEA GO:0045211 postsynaptic membrane,"GO:0007165 signal transduction 9603968 TAS GO:0007166 cell surface receptor signaling pathway 2739737 TAS GO:0007197 adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007207 phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007213 G-protein coupled acetylcholine receptor signaling pathway 3443095 TAS GO:0007271 synaptic transmission, cholinergic IBA GO:0008283 cell proliferation 2739737 TAS GO:0040012 regulation of locomotion IEA GO:0043547 positive regulation of GTPase activity IEA",guanyl-nucleotide exchange factor activity GO:0005085 IEA G-protein coupled acetylcholine receptor activity GO:0016907 IEA,Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04080 Cholinergic synapse - Homo sapiens (human) hsa04725 Regulation of actin cytoskeleton - Homo sapiens (human) hsa04810,CHEMBL
CHEMBL59898,P08173,Muscarinic acetylcholine receptor M4,1.0,PRIMARY,NO,CCOC(=O)c1c(C)[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c12,1132,ACM4,R-HSA-162582 Signal Transduction R-HSA-372790 Signaling by GPCR R-HSA-373076 Class A/1 (Rhodopsin-like receptors) R-HSA-375280 Amine ligand-binding receptors R-HSA-388396 GPCR downstream signaling R-HSA-390648 Muscarinic acetylcholine receptors R-HSA-418594 G alpha (i) signalling events R-HSA-500792 GPCR ligand binding,IEA GO:0005737 cytoplasm TAS GO:0005886 plasma membrane IEA GO:0005887 integral component of plasma membrane IEA GO:0014069 postsynaptic density IEA GO:0030054 cell junction IEA GO:0032279 asymmetric synapse IEA GO:0042383 sarcolemma IEA GO:0043025 neuronal cell body IEA GO:0043679 axon terminus IBA GO:0045202 synapse IEA GO:0045211 postsynaptic membrane,"GO:0007165 signal transduction 9603968 TAS GO:0007166 cell surface receptor signaling pathway 2739737 TAS GO:0007197 adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007207 phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway IBA GO:0007213 G-protein coupled acetylcholine receptor signaling pathway 3443095 TAS GO:0007271 synaptic transmission, cholinergic IBA GO:0008283 cell proliferation 2739737 TAS GO:0040012 regulation of locomotion IEA GO:0043547 positive regulation of GTPase activity IEA",guanyl-nucleotide exchange factor activity GO:0005085 IEA G-protein coupled acetylcholine receptor activity GO:0016907 IEA,Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa04080 Cholinergic synapse - Homo sapiens (human) hsa04725 Regulation of actin cytoskeleton - Homo sapiens (human) hsa04810,CHEMBL
CHEMBL2064166,Q02083,N-acylsphingosine-amidohydrolase,1.0,PRIMARY,NO,C[C@@H]1OC(=O)[C@@H]1NC(=O)OCCCCCc2ccccc2,27163,NAAA,,cytoplasm GO:0005737 10610717 IDA lysosomal lumen GO:0043202 TAS extracellular exosome GO:0070062 23376485 23533145 IDA presynapse GO:0098793 IEA,lipid metabolic process GO:0006629 IEA neurotransmitter secretion GO:0007269 TAS biological_process GO:0008150 ND,"IPI 21106534 transcription factor binding GO:0008134 IDA 17980170 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds GO:0016810 TAS GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",,CHEMBL
CHEMBL16192,P25103,Neurokinin 1 receptor,1.0,ORTHOGONAL,NO,COc1ccccc1CN[C@H]2C3CCN(CC3)[C@H]2C(c4ccccc4)c5ccccc5,6869,NK1R,Signal Transduction R-HSA-162582 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Peptide ligand-binding receptors R-HSA-375276 Tachykinin receptors bind tachykinins R-HSA-380095 GPCR downstream signaling R-HSA-388396 G alpha (q) signalling events R-HSA-416476 GPCR ligand binding R-HSA-500792 Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907,IEA GO:0005829 cytosol 17986524 IDA GO:0005886 plasma membrane TAS GO:0005886 plasma membrane 1657150 TAS GO:0005887 integral component of plasma membrane IEA GO:0009986 cell surface IEA GO:0030425 dendrite IEA GO:0044297 cell body,"IEA GO:0002118 aggressive behavior IEA GO:0002526 acute inflammatory response IEA GO:0002687 positive regulation of leukocyte migration IEA GO:0003051 angiotensin-mediated drinking behavior TAS 10854844 inflammatory response GO:0006954 IBA GO:0007166 cell surface receptor signaling pathway TAS 1657150 phospholipase C-activating G-protein coupled receptor signaling pathway GO:0007200 IEA GO:0007204 positive regulation of cytosolic calcium ion concentration IDA 17986524 tachykinin receptor signaling pathway GO:0007217 IBA GO:0007268 chemical synaptic transmission IEA GO:0007616 long-term memory IEA GO:0008306 associative learning IEA GO:0009408 response to heat TAS 9537323 detection of abiotic stimulus GO:0009582 IEA GO:0010193 response to ozone IEA GO:0010634 positive regulation of epithelial cell migration IEA GO:0010996 response to auditory stimulus IEA GO:0014910 regulation of smooth muscle cell migration IEA GO:0019233 sensory perception of pain IEA GO:0032224 positive regulation of synaptic transmission, cholinergic IEA GO:0032230 positive regulation of synaptic transmission, GABAergic IEA GO:0032355 response to estradiol IEA GO:0032570 response to progesterone IEA GO:0035094 response to nicotine IEA GO:0035106 operant conditioning IEA GO:0035815 positive regulation of renal sodium excretion IEA GO:0042713 sperm ejaculation IEA GO:0042755 eating behavior IEA GO:0043117 positive regulation of vascular permeability IEA GO:0043278 response to morphine IEA GO:0045471 response to ethanol IEA GO:0045760 positive regulation of action potential IEA GO:0045777 positive regulation of blood pressure IEA GO:0045778 positive regulation of ossification IEA GO:0045907 positive regulation of vasoconstriction IBA GO:0045987 positive regulation of smooth muscle contraction IEA GO:0046878 positive regulation of saliva secretion IEA GO:0046887 positive regulation of hormone secretion IEA GO:0048266 behavioral response to pain IEA GO:0048660 regulation of smooth muscle cell proliferation IEA GO:0050671 positive regulation of lymphocyte proliferation IEA GO:0050679 positive regulation of epithelial cell proliferation IEA GO:0051496 positive regulation of stress fiber assembly IEA GO:0051602 response to electrical stimulus IEA GO:0060083 smooth muscle contraction involved in micturition IEA GO:0070474 positive regulation of uterine smooth muscle contraction",8985172 TAS GO:0004995 tachykinin receptor activity 17986524 23597562 IPI GO:0005515 protein binding IBA GO:0016496 substance P receptor activity,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa05162 Measles - Homo sapiens (human),CHEMBL
CHEMBL2105667,P25103,Neurokinin 1 receptor,1.0,PRIMARY,NO,C[C@@H](N(C)C(=O)N1CC[C@@H](C[C@@H]1c2ccc(F)cc2C)N3CCN4[C@@H](CCC4=O)C3)c5cc(cc(c5)C(F)(F)F)C(F)(F)F,6869,NK1R,Signal Transduction R-HSA-162582 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Peptide ligand-binding receptors R-HSA-375276 Tachykinin receptors bind tachykinins R-HSA-380095 GPCR downstream signaling R-HSA-388396 G alpha (q) signalling events R-HSA-416476 GPCR ligand binding R-HSA-500792 Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907,IEA GO:0005829 cytosol 17986524 IDA GO:0005886 plasma membrane TAS GO:0005886 plasma membrane 1657150 TAS GO:0005887 integral component of plasma membrane IEA GO:0009986 cell surface IEA GO:0030425 dendrite IEA GO:0044297 cell body,"IEA GO:0002118 aggressive behavior IEA GO:0002526 acute inflammatory response IEA GO:0002687 positive regulation of leukocyte migration IEA GO:0003051 angiotensin-mediated drinking behavior TAS 10854844 inflammatory response GO:0006954 IBA GO:0007166 cell surface receptor signaling pathway TAS 1657150 phospholipase C-activating G-protein coupled receptor signaling pathway GO:0007200 IEA GO:0007204 positive regulation of cytosolic calcium ion concentration IDA 17986524 tachykinin receptor signaling pathway GO:0007217 IBA GO:0007268 chemical synaptic transmission IEA GO:0007616 long-term memory IEA GO:0008306 associative learning IEA GO:0009408 response to heat TAS 9537323 detection of abiotic stimulus GO:0009582 IEA GO:0010193 response to ozone IEA GO:0010634 positive regulation of epithelial cell migration IEA GO:0010996 response to auditory stimulus IEA GO:0014910 regulation of smooth muscle cell migration IEA GO:0019233 sensory perception of pain IEA GO:0032224 positive regulation of synaptic transmission, cholinergic IEA GO:0032230 positive regulation of synaptic transmission, GABAergic IEA GO:0032355 response to estradiol IEA GO:0032570 response to progesterone IEA GO:0035094 response to nicotine IEA GO:0035106 operant conditioning IEA GO:0035815 positive regulation of renal sodium excretion IEA GO:0042713 sperm ejaculation IEA GO:0042755 eating behavior IEA GO:0043117 positive regulation of vascular permeability IEA GO:0043278 response to morphine IEA GO:0045471 response to ethanol IEA GO:0045760 positive regulation of action potential IEA GO:0045777 positive regulation of blood pressure IEA GO:0045778 positive regulation of ossification IEA GO:0045907 positive regulation of vasoconstriction IBA GO:0045987 positive regulation of smooth muscle contraction IEA GO:0046878 positive regulation of saliva secretion IEA GO:0046887 positive regulation of hormone secretion IEA GO:0048266 behavioral response to pain IEA GO:0048660 regulation of smooth muscle cell proliferation IEA GO:0050671 positive regulation of lymphocyte proliferation IEA GO:0050679 positive regulation of epithelial cell proliferation IEA GO:0051496 positive regulation of stress fiber assembly IEA GO:0051602 response to electrical stimulus IEA GO:0060083 smooth muscle contraction involved in micturition IEA GO:0070474 positive regulation of uterine smooth muscle contraction",8985172 TAS GO:0004995 tachykinin receptor activity 17986524 23597562 IPI GO:0005515 protein binding IBA GO:0016496 substance P receptor activity,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa05162 Measles - Homo sapiens (human),CHEMBL
CHEMBL235363,P25103,Neurokinin 1 receptor,1.0,PRIMARY,YES,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CCCN=C(N)N)C(=O)N,6869,NK1R,Signal Transduction R-HSA-162582 Signaling by GPCR R-HSA-372790 Class A/1 (Rhodopsin-like receptors) R-HSA-373076 Peptide ligand-binding receptors R-HSA-375276 Tachykinin receptors bind tachykinins R-HSA-380095 GPCR downstream signaling R-HSA-388396 G alpha (q) signalling events R-HSA-416476 GPCR ligand binding R-HSA-500792 Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907,IEA GO:0005829 cytosol 17986524 IDA GO:0005886 plasma membrane TAS GO:0005886 plasma membrane 1657150 TAS GO:0005887 integral component of plasma membrane IEA GO:0009986 cell surface IEA GO:0030425 dendrite IEA GO:0044297 cell body,"IEA GO:0002118 aggressive behavior IEA GO:0002526 acute inflammatory response IEA GO:0002687 positive regulation of leukocyte migration IEA GO:0003051 angiotensin-mediated drinking behavior TAS 10854844 inflammatory response GO:0006954 IBA GO:0007166 cell surface receptor signaling pathway TAS 1657150 phospholipase C-activating G-protein coupled receptor signaling pathway GO:0007200 IEA GO:0007204 positive regulation of cytosolic calcium ion concentration IDA 17986524 tachykinin receptor signaling pathway GO:0007217 IBA GO:0007268 chemical synaptic transmission IEA GO:0007616 long-term memory IEA GO:0008306 associative learning IEA GO:0009408 response to heat TAS 9537323 detection of abiotic stimulus GO:0009582 IEA GO:0010193 response to ozone IEA GO:0010634 positive regulation of epithelial cell migration IEA GO:0010996 response to auditory stimulus IEA GO:0014910 regulation of smooth muscle cell migration IEA GO:0019233 sensory perception of pain IEA GO:0032224 positive regulation of synaptic transmission, cholinergic IEA GO:0032230 positive regulation of synaptic transmission, GABAergic IEA GO:0032355 response to estradiol IEA GO:0032570 response to progesterone IEA GO:0035094 response to nicotine IEA GO:0035106 operant conditioning IEA GO:0035815 positive regulation of renal sodium excretion IEA GO:0042713 sperm ejaculation IEA GO:0042755 eating behavior IEA GO:0043117 positive regulation of vascular permeability IEA GO:0043278 response to morphine IEA GO:0045471 response to ethanol IEA GO:0045760 positive regulation of action potential IEA GO:0045777 positive regulation of blood pressure IEA GO:0045778 positive regulation of ossification IEA GO:0045907 positive regulation of vasoconstriction IBA GO:0045987 positive regulation of smooth muscle contraction IEA GO:0046878 positive regulation of saliva secretion IEA GO:0046887 positive regulation of hormone secretion IEA GO:0048266 behavioral response to pain IEA GO:0048660 regulation of smooth muscle cell proliferation IEA GO:0050671 positive regulation of lymphocyte proliferation IEA GO:0050679 positive regulation of epithelial cell proliferation IEA GO:0051496 positive regulation of stress fiber assembly IEA GO:0051602 response to electrical stimulus IEA GO:0060083 smooth muscle contraction involved in micturition IEA GO:0070474 positive regulation of uterine smooth muscle contraction",8985172 TAS GO:0004995 tachykinin receptor activity 17986524 23597562 IPI GO:0005515 protein binding IBA GO:0016496 substance P receptor activity,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human) hsa05162 Measles - Homo sapiens (human),CHEMBL
CHEMBL308148,P21452,Neurokinin 2 receptor,1.0,ORTHOGONAL,NO,CN(C[C@@H](CCN1CCC(CC1)(NC(=O)C)c2ccccc2)c3ccc(Cl)c(Cl)c3)C(=O)c4ccccc4,6865,NK2R,R-HSA-162582 Signal Transduction R-HSA-372790 Signaling by GPCR R-HSA-373076 Class A/1 (Rhodopsin-like receptors) R-HSA-375276 Peptide ligand-binding receptors R-HSA-380095 Tachykinin receptors bind tachykinins R-HSA-388396 GPCR downstream signaling R-HSA-416476 G alpha (q) signalling events R-HSA-500792 GPCR ligand binding R-HSA-881907 Gastrin-CREB signalling pathway via PKC and MAPK,plasma membrane TAS GO:0005886 integral component of plasma membrane TAS 2173708 GO:0005887,"2173708 TAS GO:0006936 muscle contraction IBA GO:0007166 cell surface receptor signaling pathway IEA GO:0007217 tachykinin receptor signaling pathway IBA GO:0007268 chemical synaptic transmission 10862829 TAS GO:0007588 excretion IEA GO:0014057 positive regulation of acetylcholine secretion, neurotransmission IEA GO:0014827 intestine smooth muscle contraction IEA GO:0033685 negative regulation of luteinizing hormone secretion IEA GO:0035106 operant conditioning IEA GO:0043117 positive regulation of vascular permeability IBA GO:0045987 positive regulation of smooth muscle contraction IEA GO:0051602 response to electrical stimulus IEA GO:0070459 prolactin secretion IEA GO:0070474 positive regulation of uterine smooth muscle contraction",tachykinin receptor activity 8307161 GO:0004995 TAS protein binding 23597562 GO:0005515 IPI substance K receptor activity GO:0016497 IBA,hsa04020 Calcium signaling pathway - Homo sapiens (human) hsa04080 Neuroactive ligand-receptor interaction - Homo sapiens (human),CHEMBL
